Year,Uranium,Hydro,Natural Gas,Wind,Solar,Biomass / Geothermal,Petroleum,Coal & Coke,TWh
2005,0,0.9260648,0.1651204,0.085,0,0.318,1.9114959,8.374984,TWh
2010,0,1.007811,2.111399,0.387,0,0.378,0.5637295,7.492966,TWh
2015,0,0.9791978,2.630251,0.8035729,0,0.427,0.4916121,4.8540841,TWh
2020,0,0.756139611,1.663491806,0.925445563,0.001865169,0.259327094,0.035,4.432635651,TWh
2021,0,0.780012997,1.558867027,1.137446083,0.001865169,0.330048624,0.036,4.621243125,TWh
