Year,Region,Fuel Type,Value,Unit
2021,Manitoba,Hydro,28.86021,TWh
2021,Manitoba,Wind,0.94899,TWh
2021,Manitoba,Biomass (0.3%),0.0809,TWh
2021,Manitoba,Natural Gas (0.2%),0.0463,TWh
2021,Manitoba,Petroleum (<0.1 %),0.01687,TWh
2021,Manitoba,Solar (<0.1 %),0.01035,TWh
2021,Manitoba,Coal & Coke,0,TWh
2021,Manitoba,Uranium,0,TWh
