Year,Region,Fuel Type,Value,Unit
2021,Newfoundland and Labrador,Hydro,40.84806,TWh
2021,Newfoundland and Labrador,Petroleum,0.66853,TWh
2021,Newfoundland and Labrador,Natural Gas (0.6%),0.26408,TWh
2021,Newfoundland and Labrador,Wind (0.4%),0.1605,TWh
2021,Newfoundland and Labrador,Solar (0.0%),0.00117,TWh
2021,Newfoundland and Labrador,Coal & Coke,0,TWh
2021,Newfoundland and Labrador,Biomass,0,TWh
2021,Newfoundland and Labrador,Uranium,0,TWh
