Year,Uranium,Hydro,Natural Gas,Wind,Solar,Biomass / Geothermal,Petroleum,Coal & Coke,
2005,0,2.316,19.56876,0.741,0,1.725168,0.5094367,43.581072,TWh
2010,0,1.62,27.59487,1.629,0,1.908777,0.0265102,37.5669127,TWh
2015,0,1.977,33.99807,4.089,0,2.120298,0.0802433,38.4686818,TWh
2020,0,2.431074978,41.40015023,5.452614523,0.178121524,1.784729617,0.0156585,28.14070924,TWh
2021,0,2.151074978,46.51947288,6.800614523,0.405882207,1.793575959,0.0156585,16.21619679,TWh
