Year,Uranium,Hydro,Natural Gas,Wind,Solar,Biomass / Geothermal,Petroleum,Coal & Coke,TWh
2005,0,40.74137,0.2670709,0,0,0,1.3062134,0,TWh
2010,0,40.2868,0.454971,0.183,0,0,1.0172281,0,TWh
2015,0,39.686,0.2252178,0.172,0,0,1.6697826,0,TWh
2020,0,38.14682799,0.250405856,0.194498698,0.001168878,0,0.86853145,0,TWh
2021,0,40.8480614,0.2640785,0.160498698,0.001168878,0,0.66853145,0,TWh
