Year,Region,Fuel Type,Value,Unit
2021,Nova Scotia,Coal & Coke,4.62124,TWh
2021,Nova Scotia,Natural Gas,1.55887,TWh
2021,Nova Scotia,Wind,1.13745,TWh
2021,Nova Scotia,Hydro,0.78001,TWh
2021,Nova Scotia,Biomass,0.33005,TWh
2021,Nova Scotia,Petroleum (0.4%),0.036,TWh
2021,Nova Scotia,Solar,0,TWh
2021,Nova Scotia,Uranium,0,TWh
