Year,Region,Fuel Type,Value,Unit
2021,Quebec,Hydro,200.58807,TWh
2021,Quebec,Wind,10.32293,TWh
2021,Quebec,Biomass (0.6%),1.30122,TWh
2021,Quebec,Petroleum (0.3%),0.55646,TWh
2021,Quebec,Natural Gas (0.1%),0.10641,TWh
2021,Quebec,Solar (<0.1%),0.03353,TWh
2021,Quebec,Uranium,0,TWh
2021,Quebec,Coal & Coke,0,TWh
